20240905|215631|client          |clientSetServerIp   |31  |ERR|[ ¿í‚ü] value get failed.
20240905|221109|client          |clientSocketConnect |99  |ERR|Error: ¿¬°á ½ÇÆÐ
20240905|221645|client          |clientSocketConnect |99  |ERR|Error: ¿¬°á ½ÇÆÐ[Connection timed out]
20240905|221925|client          |clientSocketConnect |99  |ERR|Error: ¿¬°á ½ÇÆÐ[Connection timed out]
20240905|222112|client          |clientSocketSend    |108 |NOR|lient send data [Hello Server!]
20240905|222112|client          |clientSocketReceive |120 |NOR|client recv data[12:Hello World!]
20240905|222112|client          |clientSocketSend    |108 |NOR|lient send data [Hello Server!]
20240905|222112|client          |clientSocketReceive |120 |NOR|client recv data[12:Hello World!]
20240905|222112|client          |clientSocketSend    |108 |NOR|lient send data [Hello Server!]
20240905|222112|client          |clientSocketReceive |120 |NOR|client recv data[12:Hello World!]
20240905|222112|client          |clientSocketSend    |108 |NOR|lient send data [Hello Server!]
20240905|222112|client          |clientSocketReceive |120 |NOR|client recv data[12:Hello World!]
20240905|222112|client          |clientSocketSend    |108 |NOR|lient send data [Hello Server!]
20240905|222112|client          |clientSocketReceive |120 |NOR|client recv data[12:Hello World!]
20240905|222112|client          |clientSocketSend    |108 |NOR|lient send data [Hello Server!]
20240905|222112|client          |clientSocketReceive |120 |NOR|client recv data[12:Hello World!]
20240905|222112|client          |clientSocketSend    |108 |NOR|lient send data [Hello Server!]
20240905|222112|client          |clientSocketReceive |120 |NOR|client recv data[12:Hello World!]
20240905|222112|client          |clientSocketSend    |108 |NOR|lient send data [Hello Server!]
20240905|222112|client          |clientSocketReceive |120 |NOR|client recv data[12:Hello World!]
20240905|222112|client          |clientSocketSend    |108 |NOR|lient send data [Hello Server!]
20240905|222112|client          |clientSocketReceive |120 |NOR|client recv data[12:Hello World!]
20240905|222112|client          |clientSocketSend    |108 |NOR|lient send data [Hello Server!]
20240905|222112|client          |clientSocketReceive |120 |NOR|client recv data[12:Hello World!]
20240905|222112|client          |clientSocketSend    |108 |NOR|lient send data [Hello Server!]
20240905|222112|client          |clientSocketReceive |120 |NOR|client recv data[12:Hello World!]
20240905|222112|client          |clientSocketSend    |108 |NOR|lient send data [Hello Server!]
20240905|222112|client          |clientSocketReceive |120 |NOR|client recv data[12:Hello World!]
20240905|222112|client          |clientSocketSend    |108 |NOR|lient send data [Hello Server!]
20240905|222112|client          |clientSocketReceive |120 |NOR|client recv data[12:Hello World!]
20240905|222112|client          |clientSocketSend    |108 |NOR|lient send data [Hello Server!]
20240905|222112|client          |clientSocketReceive |120 |NOR|client recv data[12:Hello World!]
20240905|222112|client          |clientSocketSend    |108 |NOR|lient send data [Hello Server!]
20240905|222112|client          |clientSocketReceive |120 |NOR|client recv data[12:Hello World!]
20240905|222112|client          |clientSocketSend    |108 |NOR|lient send data [Hello Server!]
20240905|222112|client          |clientSocketReceive |120 |NOR|client recv data[12:Hello World!]
20240905|222112|client          |clientSocketSend    |108 |NOR|lient send data [Hello Server!]
20240905|222112|client          |clientSocketReceive |120 |NOR|client recv data[12:Hello World!]
20240905|222112|client          |clientSocketSend    |108 |NOR|lient send data [Hello Server!]
20240905|222112|client          |clientSocketReceive |120 |NOR|client recv data[12:Hello World!]
20240905|222112|client          |clientSocketSend    |108 |NOR|lient send data [Hello Server!]
20240905|222112|client          |clientSocketReceive |120 |NOR|client recv data[12:Hello World!]
20240905|222112|client          |clientSocketSend    |108 |NOR|lient send data [Hello Server!]
20240905|222112|client          |clientSocketReceive |120 |NOR|client recv data[12:Hello World!]
20240905|222112|client          |clientSocketSend    |108 |NOR|lient send data [Hello Server!]
20240905|222112|client          |clientSocketReceive |120 |NOR|client recv data[12:Hello World!]
20240905|222112|client          |clientSocketSend    |108 |NOR|lient send data [Hello Server!]
20240905|222112|client          |clientSocketReceive |120 |NOR|client recv data[12:Hello World!]
20240905|222112|client          |clientSocketSend    |108 |NOR|lient send data [Hello Server!]
20240905|222112|client          |clientSocketReceive |120 |NOR|client recv data[12:Hello World!]
20240905|222112|client          |clientSocketSend    |108 |NOR|lient send data [Hello Server!]
20240905|222112|client          |clientSocketReceive |120 |NOR|client recv data[12:Hello World!]
20240905|222112|client          |clientSocketSend    |108 |NOR|lient send data [Hello Server!]
20240905|222112|client          |clientSocketReceive |120 |NOR|client recv data[12:Hello World!]
20240905|222112|client          |clientSocketSend    |108 |NOR|lient send data [Hello Server!]
20240905|222112|client          |clientSocketReceive |120 |NOR|client recv data[12:Hello World!]
20240905|222112|client          |clientSocketSend    |108 |NOR|lient send data [Hello Server!]
20240905|222112|client          |clientSocketReceive |120 |NOR|client recv data[12:Hello World!]
20240905|222112|client          |clientSocketSend    |108 |NOR|lient send data [Hello Server!]
20240905|222112|client          |clientSocketReceive |120 |NOR|client recv data[12:Hello World!]
20240905|222112|client          |clientSocketSend    |108 |NOR|lient send data [Hello Server!]
20240905|222112|client          |clientSocketReceive |120 |NOR|client recv data[12:Hello World!]
20240905|222112|client          |clientSocketSend    |108 |NOR|lient send data [Hello Server!]
20240905|222112|client          |clientSocketReceive |120 |NOR|client recv data[12:Hello World!]
20240905|222112|client          |clientSocketSend    |108 |NOR|lient send data [Hello Server!]
20240905|222112|client          |clientSocketReceive |120 |NOR|client recv data[12:Hello World!]
20240905|222112|client          |clientSocketSend    |108 |NOR|lient send data [Hello Server!]
20240905|222112|client          |clientSocketReceive |120 |NOR|client recv data[12:Hello World!]
20240905|222112|client          |clientSocketSend    |108 |NOR|lient send data [Hello Server!]
20240905|222112|client          |clientSocketReceive |120 |NOR|client recv data[12:Hello World!]
20240905|222112|client          |clientSocketSend    |108 |NOR|lient send data [Hello Server!]
20240905|222112|client          |clientSocketReceive |120 |NOR|client recv data[12:Hello World!]
20240905|222112|client          |clientSocketSend    |108 |NOR|lient send data [Hello Server!]
20240905|222112|client          |clientSocketReceive |120 |NOR|client recv data[12:Hello World!]
20240905|222112|client          |clientSocketSend    |108 |NOR|lient send data [Hello Server!]
20240905|222112|client          |clientSocketReceive |120 |NOR|client recv data[12:Hello World!]
20240905|222112|client          |clientSocketSend    |108 |NOR|lient send data [Hello Server!]
20240905|222112|client          |clientSocketReceive |120 |NOR|client recv data[12:Hello World!]
20240905|222112|client          |clientSocketSend    |108 |NOR|lient send data [Hello Server!]
20240905|222112|client          |clientSocketReceive |120 |NOR|client recv data[12:Hello World!]
20240905|222112|client          |clientSocketSend    |108 |NOR|lient send data [Hello Server!]
20240905|222112|client          |clientSocketReceive |120 |NOR|client recv data[12:Hello World!]
20240905|222112|client          |clientSocketSend    |108 |NOR|lient send data [Hello Server!]
20240905|222112|client          |clientSocketReceive |120 |NOR|client recv data[12:Hello World!]
20240905|222112|client          |clientSocketSend    |108 |NOR|lient send data [Hello Server!]
20240905|222112|client          |clientSocketReceive |120 |NOR|client recv data[12:Hello World!]
20240905|222112|client          |clientSocketSend    |108 |NOR|lient send data [Hello Server!]
20240905|222112|client          |clientSocketReceive |120 |NOR|client recv data[12:Hello World!]
20240905|222112|client          |clientSocketSend    |108 |NOR|lient send data [Hello Server!]
20240905|222112|client          |clientSocketReceive |120 |NOR|client recv data[12:Hello World!]
20240905|222112|client          |clientSocketSend    |108 |NOR|lient send data [Hello Server!]
20240905|222112|client          |clientSocketReceive |120 |NOR|client recv data[12:Hello World!]
20240905|222112|client          |clientSocketSend    |108 |NOR|lient send data [Hello Server!]
