20240905|215631|login           |login_proceduer     |10  |ERR|Server IP setting failed.
20240905|215823|login           |login_proceduer     |14  |DBG|Server IP[112.172.224.56]
20240905|215823|login           |login_proceduer     |22  |DBG|Server port[0]
20240905|215823|login           |login_proceduer     |30  |DBG|Server Socket File Descirptor[3]
20240905|215842|login           |login_proceduer     |14  |DBG|Server IP[112.172.224.56]
20240905|215842|login           |login_proceduer     |22  |DBG|Server port[0]
20240905|215842|login           |login_proceduer     |30  |DBG|Server Socket File Descirptor[3]
20240905|215901|login           |login_proceduer     |14  |DBG|Server IP[112.172.224.56]
20240905|215901|login           |login_proceduer     |22  |DBG|Server port[0]
20240905|215901|login           |login_proceduer     |30  |DBG|Server Socket File Descirptor[3]
20240905|215904|login           |login_proceduer     |14  |DBG|Server IP[112.172.224.56]
20240905|215904|login           |login_proceduer     |22  |DBG|Server port[0]
20240905|215904|login           |login_proceduer     |30  |DBG|Server Socket File Descirptor[3]
20240905|220118|login           |login_proceduer     |14  |DBG|Server IP[112.172.224.56]
20240905|220118|login           |login_proceduer     |22  |DBG|Server port[21001]
20240905|220118|login           |login_proceduer     |30  |DBG|Server Socket File Descirptor[3]
20240905|220155|login           |login_proceduer     |14  |DBG|Server IP[112.172.224.56]
20240905|220155|login           |login_proceduer     |22  |DBG|Server port[21001]
20240905|220155|login           |login_proceduer     |30  |DBG|Server Socket File Descirptor[3]
20240905|220308|login           |login_proceduer     |14  |DBG|Server IP[112.172.224.56]
20240905|220308|login           |login_proceduer     |22  |DBG|Server port[21001]
20240905|220308|login           |login_proceduer     |30  |DBG|Server Socket File Descirptor[3]
20240905|220452|login           |login_proceduer     |14  |DBG|Server IP[112.172.224.56]
20240905|220452|login           |login_proceduer     |22  |DBG|Server port[21001]
20240905|220452|login           |login_proceduer     |30  |DBG|Server Socket File Descirptor[3]
20240905|220739|login           |login_proceduer     |14  |DBG|Server IP[112.172.224.56]
20240905|220739|login           |login_proceduer     |22  |DBG|Server port[21001]
20240905|220739|login           |login_proceduer     |30  |DBG|Server Socket File Descirptor[3]
20240905|220855|login           |login_proceduer     |14  |DBG|Server IP[112.172.224.56]
20240905|220855|login           |login_proceduer     |22  |DBG|Server port[21001]
20240905|220855|login           |login_proceduer     |30  |DBG|Server Socket File Descirptor[3]
20240905|221109|login           |login_proceduer     |34  |ERR|Conncet socket failed.
20240905|221430|login           |login_proceduer     |14  |DBG|Server IP[112.172.224.56]
20240905|221430|login           |login_proceduer     |22  |DBG|Server port[21001]
