20240905|215631|util            |utilGetEnvValue     |79  |ERR|환경파일 읽어오기 실패[../interface/_interface.env]
20240905|215823|util            |utilGetEnvValue     |101 |DBG|[SERVER_IP]: [112.172.224.56]
20240905|215823|util            |utilGetEnvValue     |101 |DBG|[SERVER_PORT]: [21001]
20240905|215842|util            |utilGetEnvValue     |101 |DBG|[SERVER_IP]: [112.172.224.56]
20240905|215842|util            |utilGetEnvValue     |101 |DBG|[SERVER_PORT]: [21001]
20240905|215901|util            |utilGetEnvValue     |101 |DBG|[SERVER_IP]: [112.172.224.56]
20240905|215901|util            |utilGetEnvValue     |101 |DBG|[SERVER_PORT]: [21001]
20240905|215904|util            |utilGetEnvValue     |101 |DBG|[SERVER_IP]: [112.172.224.56]
20240905|215904|util            |utilGetEnvValue     |101 |DBG|[SERVER_PORT]: [21001]
20240905|220118|util            |utilGetEnvValue     |101 |DBG|[SERVER_IP]: [112.172.224.56]
20240905|220118|util            |utilGetEnvValue     |101 |DBG|[SERVER_PORT]: [21001]
20240905|220155|util            |utilGetEnvValue     |101 |DBG|[SERVER_IP]: [112.172.224.56]
20240905|220155|util            |utilGetEnvValue     |101 |DBG|[SERVER_PORT]: [21001]
20240905|220308|util            |utilGetEnvValue     |101 |DBG|[SERVER_IP]: [112.172.224.56]
20240905|220308|util            |utilGetEnvValue     |101 |DBG|[SERVER_PORT]: [21001]
20240905|220452|util            |utilGetEnvValue     |101 |DBG|[SERVER_IP]: [112.172.224.56]
20240905|220452|util            |utilGetEnvValue     |101 |DBG|[SERVER_PORT]: [21001]
20240905|220739|util            |utilGetEnvValue     |101 |DBG|[SERVER_IP]: [112.172.224.56]
20240905|220739|util            |utilGetEnvValue     |101 |DBG|[SERVER_PORT]: [21001]
20240905|220855|util            |utilGetEnvValue     |101 |DBG|[SERVER_IP]: [112.172.224.56]
20240905|220855|util            |utilGetEnvValue     |101 |DBG|[SERVER_PORT]: [21001]
20240905|221430|util            |utilGetEnvValue     |101 |DBG|[SERVER_IP]: [112.172.224.56]
20240905|221430|util            |utilGetEnvValue     |101 |DBG|[SERVER_PORT]: [21001]
20240905|221709|util            |utilGetEnvValue     |101 |DBG|[SERVER_IP]: [112.172.224.56]
20240905|221709|util            |utilGetEnvValue     |101 |DBG|[SERVER_PORT]: [21001]
20240905|222112|util            |utilGetEnvValue     |101 |DBG|[SERVER_IP]: [0.0.0.0]
20240905|222112|util            |utilGetEnvValue     |101 |DBG|[SERVER_PORT]: [21001]
20240905|222112|util            |utilGetEnvValue     |101 |DBG|[SERVER_IP]: [0.0.0.0]
20240905|222112|util            |utilGetEnvValue     |101 |DBG|[SERVER_PORT]: [21001]
20240905|222112|util            |utilGetEnvValue     |101 |DBG|[SERVER_IP]: [0.0.0.0]
20240905|222112|util            |utilGetEnvValue     |101 |DBG|[SERVER_PORT]: [21001]
20240905|222112|util            |utilGetEnvValue     |101 |DBG|[SERVER_IP]: [0.0.0.0]
20240905|222112|util            |utilGetEnvValue     |101 |DBG|[SERVER_PORT]: [21001]
20240905|222112|util            |utilGetEnvValue     |101 |DBG|[SERVER_IP]: [0.0.0.0]
20240905|222112|util            |utilGetEnvValue     |101 |DBG|[SERVER_PORT]: [21001]
20240905|222112|util            |utilGetEnvValue     |101 |DBG|[SERVER_IP]: [0.0.0.0]
20240905|222112|util            |utilGetEnvValue     |101 |DBG|[SERVER_PORT]: [21001]
20240905|222112|util            |utilGetEnvValue     |101 |DBG|[SERVER_IP]: [0.0.0.0]
20240905|222112|util            |utilGetEnvValue     |101 |DBG|[SERVER_PORT]: [21001]
20240905|222112|util            |utilGetEnvValue     |101 |DBG|[SERVER_IP]: [0.0.0.0]
20240905|222112|util            |utilGetEnvValue     |101 |DBG|[SERVER_PORT]: [21001]
20240905|222112|util            |utilGetEnvValue     |101 |DBG|[SERVER_IP]: [0.0.0.0]
20240905|222112|util            |utilGetEnvValue     |101 |DBG|[SERVER_PORT]: [21001]
20240905|222112|util            |utilGetEnvValue     |101 |DBG|[SERVER_IP]: [0.0.0.0]
20240905|222112|util            |utilGetEnvValue     |101 |DBG|[SERVER_PORT]: [21001]
20240905|222112|util            |utilGetEnvValue     |101 |DBG|[SERVER_IP]: [0.0.0.0]
20240905|222112|util            |utilGetEnvValue     |101 |DBG|[SERVER_PORT]: [21001]
20240905|222112|util            |utilGetEnvValue     |101 |DBG|[SERVER_IP]: [0.0.0.0]
20240905|222112|util            |utilGetEnvValue     |101 |DBG|[SERVER_PORT]: [21001]
20240905|222112|util            |utilGetEnvValue     |101 |DBG|[SERVER_IP]: [0.0.0.0]
20240905|222112|util            |utilGetEnvValue     |101 |DBG|[SERVER_PORT]: [21001]
20240905|222112|util            |utilGetEnvValue     |101 |DBG|[SERVER_IP]: [0.0.0.0]
20240905|222112|util            |utilGetEnvValue     |101 |DBG|[SERVER_PORT]: [21001]
20240905|222112|util            |utilGetEnvValue     |101 |DBG|[SERVER_IP]: [0.0.0.0]
20240905|222112|util            |utilGetEnvValue     |101 |DBG|[SERVER_PORT]: [21001]
20240905|222112|util            |utilGetEnvValue     |101 |DBG|[SERVER_IP]: [0.0.0.0]
20240905|222112|util            |utilGetEnvValue     |101 |DBG|[SERVER_PORT]: [21001]
20240905|222112|util            |utilGetEnvValue     |101 |DBG|[SERVER_IP]: [0.0.0.0]
20240905|222112|util            |utilGetEnvValue     |101 |DBG|[SERVER_PORT]: [21001]
20240905|222112|util            |utilGetEnvValue     |101 |DBG|[SERVER_IP]: [0.0.0.0]
20240905|222112|util            |utilGetEnvValue     |101 |DBG|[SERVER_PORT]: [21001]
20240905|222112|util            |utilGetEnvValue     |101 |DBG|[SERVER_IP]: [0.0.0.0]
20240905|222112|util            |utilGetEnvValue     |101 |DBG|[SERVER_PORT]: [21001]
20240905|222112|util            |utilGetEnvValue     |101 |DBG|[SERVER_IP]: [0.0.0.0]
20240905|222112|util            |utilGetEnvValue     |101 |DBG|[SERVER_PORT]: [21001]
20240905|222112|util            |utilGetEnvValue     |101 |DBG|[SERVER_IP]: [0.0.0.0]
20240905|222112|util            |utilGetEnvValue     |101 |DBG|[SERVER_PORT]: [21001]
20240905|222112|util            |utilGetEnvValue     |101 |DBG|[SERVER_IP]: [0.0.0.0]
20240905|222112|util            |utilGetEnvValue     |101 |DBG|[SERVER_PORT]: [21001]
20240905|222112|util            |utilGetEnvValue     |101 |DBG|[SERVER_IP]: [0.0.0.0]
20240905|222112|util            |utilGetEnvValue     |101 |DBG|[SERVER_PORT]: [21001]
20240905|222112|util            |utilGetEnvValue     |101 |DBG|[SERVER_IP]: [0.0.0.0]
20240905|222112|util            |utilGetEnvValue     |101 |DBG|[SERVER_PORT]: [21001]
20240905|222112|util            |utilGetEnvValue     |101 |DBG|[SERVER_IP]: [0.0.0.0]
20240905|222112|util            |utilGetEnvValue     |101 |DBG|[SERVER_PORT]: [21001]
20240905|222112|util            |utilGetEnvValue     |101 |DBG|[SERVER_IP]: [0.0.0.0]
20240905|222112|util            |utilGetEnvValue     |101 |DBG|[SERVER_PORT]: [21001]
20240905|222112|util            |utilGetEnvValue     |101 |DBG|[SERVER_IP]: [0.0.0.0]
20240905|222112|util            |utilGetEnvValue     |101 |DBG|[SERVER_PORT]: [21001]
20240905|222112|util            |utilGetEnvValue     |101 |DBG|[SERVER_IP]: [0.0.0.0]
20240905|222112|util            |utilGetEnvValue     |101 |DBG|[SERVER_PORT]: [21001]
20240905|222112|util            |utilGetEnvValue     |101 |DBG|[SERVER_IP]: [0.0.0.0]
20240905|222112|util            |utilGetEnvValue     |101 |DBG|[SERVER_PORT]: [21001]
