20240907|225625|util            |utilGetEnvValue     |101 |DBG|[SERVER_IP]: [112.172.224.56]
20240907|225625|util            |utilGetEnvValue     |101 |DBG|[SERVER_PORT]: [21001]
20240907|225725|util            |utilGetEnvValue     |101 |DBG|[SERVER_IP]: [112.172.224.56]
20240907|225725|util            |utilGetEnvValue     |101 |DBG|[SERVER_PORT]: [21001]
20240907|225838|util            |utilGetEnvValue     |101 |DBG|[SERVER_IP]: [112.172.224.56]
20240907|225838|util            |utilGetEnvValue     |101 |DBG|[SERVER_PORT]: [21001]
20240907|232522|util            |utilGetEnvValue     |101 |DBG|[SERVER_IP]: [112.172.224.56]
20240907|232522|util            |utilGetEnvValue     |101 |DBG|[SERVER_PORT]: [21001]
20240907|232634|util            |utilGetEnvValue     |101 |DBG|[SERVER_IP]: [112.172.224.56]
20240907|232634|util            |utilGetEnvValue     |101 |DBG|[SERVER_PORT]: [21001]
20240907|232659|util            |utilGetEnvValue     |101 |DBG|[SERVER_IP]: [112.172.224.56]
20240907|232659|util            |utilGetEnvValue     |101 |DBG|[SERVER_PORT]: [21001]
20240907|232841|util            |utilGetEnvValue     |101 |DBG|[SERVER_IP]: [112.172.224.56]
20240907|232841|util            |utilGetEnvValue     |101 |DBG|[SERVER_PORT]: [21001]
20240907|232928|util            |utilGetEnvValue     |101 |DBG|[SERVER_IP]: [112.172.224.56]
20240907|232928|util            |utilGetEnvValue     |101 |DBG|[SERVER_PORT]: [21001]
20240907|233012|util            |utilGetEnvValue     |101 |DBG|[SERVER_IP]: [112.172.224.56]
20240907|233012|util            |utilGetEnvValue     |101 |DBG|[SERVER_PORT]: [21001]
